id,Respondent.Race,White,Black,Jewish,Hispanic,Asian
1080,White,NA,NA,NA,NA,NA
2754,White,NA,NA,NA,NA,NA
1756,White,NA,NA,NA,NA,NA
1272,White,NA,NA,NA,NA,NA
2270,White,NA,NA,NA,NA,NA
1340,White,49,25,10,10,5
566,White,NA,NA,NA,NA,NA
1919,White,65,10,3,5,6
504,White,NA,NA,NA,NA,NA
325,White,70,15,7,14,7
1941,Black,65,35,60,40,40
2452,White,75,50,20,35,15
542,White,NA,NA,NA,NA,NA
55,Other,NA,NA,NA,NA,NA
363,White,70,13,2,11,1
2473,White,60,30,25,15,15
1644,White,NA,NA,NA,NA,NA
826,White,NA,NA,NA,NA,NA
1824,White,NA,NA,NA,NA,NA
658,White,NA,NA,NA,NA,NA
2438,White,NA,NA,NA,NA,NA
786,White,60,30,5,10,10
404,White,NA,NA,NA,NA,NA
330,White,75,20,5,10,5
2568,White,NA,NA,NA,NA,NA
1526,White,NA,NA,NA,NA,NA
336,White,NA,NA,NA,NA,NA
432,White,75,15,NA,75,80
2326,White,NA,NA,NA,NA,NA
2772,White,NA,NA,NA,NA,NA
1154,White,NA,NA,NA,NA,NA
832,White,NA,NA,NA,NA,NA
126,White,NA,NA,NA,NA,NA
2808,White,NA,NA,NA,NA,NA
2686,White,NA,NA,NA,NA,NA
247,White,50,30,25,30,50
32,White,NA,NA,NA,NA,NA
2294,White,NA,NA,NA,NA,NA
855,White,70,20,15,5,3
2599,Other,60,55,30,40,30
2078,White,NA,NA,NA,NA,NA
194,White,60,20,10,15,10
1506,White,98,96,75,85,85
1042,White,NA,NA,NA,NA,NA
2592,White,NA,NA,NA,NA,NA
2108,White,NA,NA,NA,NA,NA
1434,White,NA,NA,NA,NA,NA
1945,White,70,20,20,15,20
1087,White,70,20,40,15,20
1366,White,NA,NA,NA,NA,NA
2468,White,NA,NA,NA,NA,NA
1469,White,60,40,25,50,30
745,White,60,20,5,10,2
490,Black,NA,NA,NA,NA,NA
2562,White,NA,NA,NA,NA,NA
1168,White,65,15,5,5,5
825,Black,NA,NA,NA,NA,NA
2008,White,50,40,25,20,15
559,Black,NA,NA,NA,NA,NA
2315,White,75,20,NA,5,NA
2716,White,NA,NA,NA,NA,NA
62,Other,80,90,NA,90,NA
1872,White,50,20,10,20,10
928,White,70,10,10,20,20
70,White,50,50,50,50,50
2714,White,40,30,5,25,10
2478,Other,45,30,NA,5,10
24,White,70,15,1,14,2
2216,White,50,40,20,40,20
2595,White,60,30,20,30,20
2239,White,60,30,10,20,20
1134,White,40,50,20,30,10
1238,Black,65,30,10,10,10
2410,White,75,10,5,5,3
797,White,40,10,10,30,10
1392,White,50,60,60,30,30
2710,White,NA,NA,NA,NA,NA
1196,White,65,20,NA,12,10
1389,Black,NA,NA,NA,NA,NA
1811,White,35,35,15,30,25
2591,White,75,20,5,20,20
596,White,50,50,50,50,50
1914,White,70,20,20,20,20
166,White,48,35,15,30,10
1737,White,60,30,20,20,10
21,White,60,15,4,25,4
1883,White,60,30,20,40,30
2158,White,60,20,NA,10,10
1463,Black,NA,NA,NA,NA,NA
371,Other,60,30,30,40,30
1297,Other,70,50,40,60,50
291,Black,NA,NA,NA,NA,NA
2403,Black,50,35,25,35,18
375,White,30,30,5,30,5
2378,White,60,10,10,5,5
2021,Black,NA,NA,NA,NA,NA
1933,Black,NA,NA,NA,NA,NA
2523,Black,NA,NA,NA,NA,NA
161,Black,NA,NA,NA,NA,NA
1711,Black,NA,NA,NA,NA,NA
2721,Black,NA,NA,NA,NA,NA
808,White,90,5,5,5,5
135,Black,60,20,20,20,15
1999,Black,60,13,5,20,5
1245,White,95,95,95,4,4
250,White,90,60,20,50,55
1300,White,75,45,60,35,40
2100,Black,NA,NA,NA,NA,NA
38,White,NA,NA,NA,NA,NA
1332,White,NA,NA,NA,NA,NA
960,White,NA,NA,NA,NA,NA
2762,White,45,40,20,20,10
648,Black,80,80,40,65,65
2386,White,NA,NA,NA,NA,NA
2020,White,NA,NA,NA,NA,NA
2608,White,NA,NA,NA,NA,NA
638,White,NA,NA,NA,NA,NA
2578,White,NA,NA,NA,NA,NA
